title,author,areaKey,areaLabel,reason,cover
Getting Things Done,David Allen,ways,Ways of Working,Master task management and workflow organization,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/gtdal.jpg
Give and Take,Adam Grant,power,Power Skills,How generosity drives success and teamwork,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/gvatk.jpg
Good Strategy Bad Strategy,Richard Rumelt,business,Business Acumen,Differentiate strong strategies from weak planning,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/gsbsy.jpg
Good to Great,Jim Collins,Business Acumen,Business Acumen,How companies achieve lasting greatness,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/gdjrp.jpg
Grit,Angela Duckworth,power,Power Skills,Build resilience and perseverance to achieve long-term goals,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/grtkf.jpg
Hooked,Nir Eyal,business,Business Acumen,Understand consumer behavior and habit-forming products,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/hkdny.jpg
How to Win Friends and Influence People,Dale Carnegie,Power Skills,Power Skills,Timeless guide to connect and influence others,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/qwplm.jpg
Influence,Robert Cialdini,power,Power Skills,Learn science of persuasion to build influence ethically,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/inflc.jpg
It Doesn’t Have to Be Crazy at Work,Jason Fried,ways,Ways of Working,"Create calm, focused work cultures",https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/idhcw.jpg
Leaders Eat Last,Simon Sinek,power,Power Skills,Understand servant leadership and building trust-driven teams,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/lelst.jpg
Leadershift,John C. Maxwell,power,Power Skills,Evolve leadership skills to meet changing demands,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/ldshf.jpg
Linchpin,Seth Godin,power,Power Skills,Be indispensable by leading and taking initiative,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/lnchp.jpg
Made to Stick,Chip Heath & Dan Heath,power,Power Skills,Communicate ideas that resonate and inspire action,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/mdstk.jpg
Making Things Happen,Scott Berkun,Ways of Working,Ways of Working,Practical field guide for project managers,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/aqwer.jpg
Managing Oneself,Peter Drucker,power,Power Skills,Timeless guide to self-awareness and career effectiveness,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/mngos.jpg
Managing the Unmanageable,Mickey W. Mantle & Ron Lichty,Ways of Working,Ways of Working,Best practices for managing software teams,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/loiuy.jpg
Measure What Matters,John Doerr,business,Business Acumen,"Learn OKRs, performance metrics, and strategic alignment",https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/mwtrs.jpg
Mindset,Carol Dweck,Power Skills,Power Skills,Develop a growth mindset for success,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/qweui.jpg
Multipliers,Liz Wiseman,power,Power Skills,Empower teams to achieve more through growth leadership,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/mltmn.jpg
Never Split the Difference,Chris Voss,Power Skills,Power Skills,Negotiation tactics from an FBI hostage expert,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/klmpq.jpg
No Rules Rules,Reed Hastings,business,Business Acumen,Cultural innovation and trust in agile organizations,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/nruls.jpg
Originals,Adam Grant,power,Power Skills,Encourage creativity and innovation in teams,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/orgnt.jpg
Outliers,Malcolm Gladwell,business,Business Acumen,Discover patterns behind success and high performance,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/otlrs.jpg
Playing to Win,A.G. Lafley,business,Business Acumen,Framework for competitive advantage and strategic choice,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/pltwg.jpg
Pre-Suasion,Robert Cialdini,power,Power Skills,Master psychological triggers before persuasion,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/prsvn.jpg
Principles,Ray Dalio,business,Business Acumen,Bridge data-driven decisions and management best practices,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/prncd.jpg
Project to Product,Mik Kersten,Ways of Working,Ways of Working,Transform organizations through flow frameworks,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/fghjk.jpg
Purple Cow,Seth Godin,business,Business Acumen,Learn how to build remarkable products that stand out,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/prpcw.jpg
Quiet,Susan Cain,Power Skills,Power Skills,How introverts can thrive and lead,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/rtmqp.jpg
Radical Candor,Kim Scott,power,Power Skills,Master honest communication and feedback in leadership,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/rdcnr.jpg
Radical Focus,Christina Wodtke,business,Business Acumen,OKRs and focus for execution excellence,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/rdfcw.jpg
Range,David Epstein,business,Business Acumen,Why generalists thrive in a specialized world,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/rngdp.jpg
Reboot,Jerry Colonna,power,Power Skills,Emotional growth and resilience in leadership,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/rbcol.jpg
Reinventing Organizations,Frederic Laloux,business,Business Acumen,Explore self-managed and purpose-driven organizations,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/rnorg.jpg
Reinventing You,Dorie Clark,power,Power Skills,Career reinvention through personal branding,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/rinvn.jpg
Rework,Jason Fried,ways,Ways of Working,"Modern principles for lean, efficient, and adaptive work culture",https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/rwrkf.jpg
Risk Up Front,Adam Josephs & Brad Rubenstein,Ways of Working,Ways of Working,Identify and address risks early in projects,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/ikmnj.jpg
Scrum: The Art of Doing Twice the Work in Half the Time,Jeff Sutherland,Ways of Working,Ways of Working,Master Scrum principles for efficient project delivery,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/qwert.jpg
Skin in the Game,Nassim Nicholas Taleb,business,Business Acumen,"Understand risk, accountability, and fairness in decisions",https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/skitg.jpg
Smarter Faster Better,Charles Duhigg,ways,Ways of Working,Explore productivity through psychology and motivation,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/sfbdu.jpg
Sprint,Jake Knapp,ways,Ways of Working,Learn Google’s design sprint for problem-solving,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/sprnt.jpg
Start with Why,Simon Sinek,power,Power Skills,Find purpose and inspire teams through shared vision,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/swwhy.jpg
Switch,Chip Heath & Dan Heath,Business Acumen,Business Acumen,How to change behavior effectively,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/bvtrp.jpg
Team of Teams,Stanley McChrystal,power,Power Skills,"Leadership through adaptability, collaboration, and shared purpose",https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/tmtms.jpg
Thanks for the Feedback,Douglas Stone & Sheila Heen,Power Skills,Power Skills,Learn to receive and use feedback effectively,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/ewrtp.jpg
The 4-Hour Workweek,Tim Ferriss,ways,Ways of Working,"Optimize time, automate work, and design lifestyle freedom",https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/4hrwk.jpg
The 7 Habits of Highly Effective People,Stephen Covey,Power Skills,Power Skills,Develop character and habits for success,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/nzqtw.jpg
The Art of Possibility,Rosamund & Benjamin Zander,Power Skills,Power Skills,Transform personal and professional life with possibility thinking,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/vbtrq.jpg
The Art of Project Management,Scott Berkun,ways,Ways of Working,"Comprehensive guide on planning, risk, and execution",https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/apmbr.jpg
The Art of Scalability,Martin L. Abbott & Michael T. Fisher,Ways of Working,Ways of Working,Learn how to scale systems and teams effectively,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/rtyui.jpg
The Art of Strategy,Avinash K. Dixit,business,Business Acumen,Learn game theory and competitive strategy essentials,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/tastr.jpg
The Black Swan,Nassim Nicholas Taleb,business,Business Acumen,Prepare for unpredictable high-impact events,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/blksw.jpg
The Coaching Habit,Michael Bungay Stanier,Power Skills,Power Skills,How to make coaching a daily leadership habit,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/jkmop.jpg
The Confidence Code,Katty Kay,power,Power Skills,Build self-assurance in leadership,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/cncdk.jpg
The Culture Code,Daniel Coyle,power,Power Skills,Secrets of highly successful teams and belonging,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/ccdcc.jpg
The Design of Everyday Things,Don Norman,Ways of Working,Ways of Working,Understand user-centered design principles,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/vfrty.jpg
The Dichotomy of Leadership,Jocko Willink,power,Power Skills,"Balancing authority, trust, and teamwork effectively",https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/diclo.jpg
The Dip,Seth Godin,power,Power Skills,Know when to quit or persevere for success,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/thedp.jpg
The Effective Executive,Peter Drucker,business,Business Acumen,Timeless lessons in managerial productivity and decision-making,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/tefxe.jpg
The Fearless Organization,Amy Edmondson,Power Skills,Power Skills,How to build psychological safety in teams,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/lkiop.jpg
The First 90 Days,Michael Watkins,ways,Ways of Working,Transition smoothly into leadership or new projects,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/tf9dy.jpg
The Five Dysfunctions of a Team,Patrick Lencioni,Power Skills,Power Skills,Overcome barriers to team success,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/juhyt.jpg
The Goal,Eliyahu Goldratt,business,Business Acumen,Understand theory of constraints and operational efficiency,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/tgldr.jpg
The Happiness Advantage,Shawn Achor,power,Power Skills,How positivity fuels success and performance,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/hpadv.jpg
The Hard Thing About Hard Things,Ben Horowitz,Business Acumen,Business Acumen,Honest lessons on building resilient companies,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/ldvks.jpg
The Infinite Game,Simon Sinek,business,Business Acumen,Think long-term and lead with purpose beyond competition,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/tifgm.jpg
The Innovator’s Dilemma,Clayton Christensen,business,Business Acumen,Learn about disruptive innovation and adapting business models,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/tidlm.jpg
The Innovators Dilemma,Clayton Christensen,Business Acumen,Business Acumen,How innovation disrupts established leaders,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/fnbtu.jpg
The Lean Startup,Eric Ries,Ways of Working,Ways of Working,Apply Lean principles to innovate faster,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/zxcvb.jpg
The Making of a Manager,Julie Zhuo,power,Power Skills,Transition smoothly into management with confidence,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/mkmgr.jpg
The Manager’s Path,Camille Fournier,ways,Ways of Working,Guide to leading engineering teams and scaling management,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/mgpth.jpg
The McKinsey Way,Ethan Rasiel,Business Acumen,Business Acumen,Learn structured problem-solving from top consultants,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/qwely.jpg
The Mythical Man-Month,Fred Brooks,ways,Ways of Working,Classic on software project scheduling and human limits,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/mmmnm.jpg
The One Thing,Gary Keller,ways,Ways of Working,Focus on what matters most for productivity and results,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/tothg.jpg
The Phoenix Project,Gene Kim,ways,Ways of Working,"Understand DevOps, flow, and IT project agility",https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/phnxp.jpg
The Power of Habit,Charles Duhigg,power,Power Skills,Understand habit loops to drive behavior change,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/pwhbt.jpg
The Power of Now,Eckhart Tolle,power,Power Skills,Mindful awareness to enhance clarity and focus,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/pwnow.jpg
The Speed of Trust,Stephen M. R. Covey,power,Power Skills,Build and sustain trust-based relationships,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/sptrs.jpg
The Toyota Way,Jeffrey Liker,ways,Ways of Working,Understand lean principles and process optimization,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/ttywy.jpg
The Unicorn Project,Gene Kim,ways,Ways of Working,Deep dive into agile software culture and collaboration,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/unprj.jpg
Think Again,Adam Grant,power,Power Skills,Challenge assumptions and rethink leadership mindset,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/thagn.jpg
Thinking Fast and Slow,Daniel Kahneman,Business,Business Acumen,Explore decision-making psychology critical for project risk and strategy,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/tfskh.jpg
Thinking in Systems,Donella Meadows,Ways of Working,Ways of Working,Grasp systems thinking for smarter decision making,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/ujmko.jpg
Tools of Titans,Tim Ferriss,power,Power Skills,Collection of success strategies from global achievers,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/tottn.jpg
Tribes,Seth Godin,power,Power Skills,Lead communities and movements through shared purpose,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/trbsg.jpg
Trillion Dollar Coach,Eric Schmidt,power,Power Skills,Mentorship lessons from legendary coach Bill Campbell,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/tdcco.jpg
Turn the Ship Around!,L. David Marquet,power,Power Skills,Empower teams with decentralized leadership,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/ttsrd.jpg
Value Proposition Design,Alexander Osterwalder,business,Business Acumen,Learn to create compelling value for customers,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/vpdow.jpg
Who Moved My Cheese?,Spencer Johnson,power,Power Skills,Adapt to change and thrive in uncertain environments,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/wmmch.jpg
Work Rules!,Laszlo Bock,power,Power Skills,"Build productive, innovative teams with culture focus",https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/wrkrl.jpg
Zero to One,Peter Thiel,business,Business Acumen,Understand innovation and creating new market value,https://raw.githubusercontent.com/madhunair1/booksdb/refs/heads/main/ztoon.jpg
